round,loss,mae,rmse,r2,timestamp
1,0.48869428613571203,0.3039150338161499,0.4886942842305982,-0.4211878054904699,2026-03-30T23:12:21.992
2,0.4893648507619145,0.3084332892407434,0.4893648573470307,-0.4323245199145856,2026-03-30T23:12:22.760
3,0.4893648507619145,0.3084332892407434,0.4893648573470308,-0.4323245199145858,2026-03-30T23:12:22.844
4,0.4893648507619145,0.3084332892407434,0.4893648573470308,-0.4323245199145859,2026-03-30T23:12:22.911
5,0.4893648507619145,0.3084332892407434,0.4893648573470308,-0.43232451991458576,2026-03-30T23:12:22.951
6,0.4893648507619145,0.3084332892407434,0.4893648573470308,-0.4323245199145856,2026-03-30T23:12:22.988
7,0.4893648507619145,0.3084332892407435,0.4893648573470308,-0.4323245199145858,2026-03-30T23:12:23.025
8,0.4893648507619145,0.3084332892407434,0.4893648573470307,-0.43232451991458537,2026-03-30T23:12:23.061
9,0.4893648507619145,0.3084332892407434,0.4893648573470308,-0.432324519914586,2026-03-30T23:12:23.096
10,0.4893648507619145,0.3084332892407434,0.4893648573470307,-0.4323245199145856,2026-03-30T23:12:23.140
