feature,coefficient
t-23_dish washer,-0.21824394624691615
t-23_electric stove,4.909267437014364e-16
t-23_fridge,-0.264230224965434
t-23_microwave,0.48621682881797224
t-23_washer dryer,-0.04709260046891427
t-23_hour,0.04334219371674088
t-23_day,0.0019667294577952223
t-23_lag_1,0.1429020583832557
t-23_rolling_mean,-0.055792735923981485
t-22_dish washer,-0.4581176759936635
t-22_electric stove,-8.257283745649602e-16
t-22_fridge,0.04998665970704413
t-22_microwave,0.5034625808088956
t-22_washer dryer,0.18280997858251816
t-22_hour,0.031035541767483146
t-22_day,0.00393237525524576
t-22_lag_1,-0.09720990957257858
t-22_rolling_mean,-0.22453760191041439
t-21_dish washer,0.09685194187371307
t-21_electric stove,6.245004513516506e-16
t-21_fridge,-0.01786572573906408
t-21_microwave,-0.2213707105390375
t-21_washer dryer,0.38589881552110233
t-21_hour,0.2191286821133552
t-21_day,-0.02611027910555546
t-21_lag_1,-0.02873280788903302
t-21_rolling_mean,0.006436338928727501
t-20_dish washer,-0.20643213236819888
t-20_electric stove,-9.367506770274758e-17
t-20_fridge,0.47524307501215174
t-20_microwave,-0.3340773570318361
t-20_washer dryer,0.24494846780352691
t-20_hour,-0.3099680159154846
t-20_day,0.058398221274049825
t-20_lag_1,-0.25987132394497603
t-20_rolling_mean,-0.14642254940377297
t-19_dish washer,-0.5999627075357736
t-19_electric stove,-7.077671781985373e-16
t-19_fridge,-0.06871064897247298
t-19_microwave,-0.21995425391258375
t-19_washer dryer,0.025850296412846058
t-19_hour,0.05828444066913355
t-19_day,-0.000419879430437739
t-19_lag_1,-0.09214669254330471
t-19_rolling_mean,-0.1445009782165032
t-18_dish washer,-0.21332183880986352
t-18_electric stove,-6.800116025829084e-16
t-18_fridge,-0.10866163779728033
t-18_microwave,-0.1613502252010704
t-18_washer dryer,-0.132787338307094
t-18_hour,0.3988410236851616
t-18_day,-0.05481433366216286
t-18_lag_1,0.2850294983913336
t-18_rolling_mean,-0.025423205347258452
t-17_dish washer,0.17287150845843766
t-17_electric stove,5.828670879282072e-16
t-17_fridge,0.2183078773281901
t-17_microwave,0.010690131386342921
