house,model,window_size,n_train,n_val,n_test,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
house1,LinearRegression,24.0,184.0,40.0,40.0,2.5852730094079518e-15,3.2710626931698086e-15,1.0,0.5919801689077471,0.8491890563330724,-656.3287067969369,0.6952280248802182,0.8912702025487746,-73.94849015984241
house2,LinearRegression,24.0,151.0,33.0,33.0,7.870503595798945e-16,1.0010016022990105e-15,1.0,0.49589498590552894,0.5734671006018945,-18.86130913804767,0.5780918429796663,0.7664932640959246,-15.840798530571544
house3,LinearRegression,24.0,122.0,26.0,27.0,5.966951090789239e-16,7.410313541423825e-16,1.0,0.3466752188226577,0.41654860073732997,-43.407297506357146,0.32222659080550425,0.4250553595896767,-114.81272719116117
house4,LinearRegression,24.0,142.0,30.0,31.0,0.045440361213545194,0.06713214615562846,0.8993254702810201,0.3188052477867445,0.37681202053890295,-2.9866682164543685,0.25669080679048367,0.31765652673497974,-152.75331368272663
house6,LinearRegression,24.0,172.0,37.0,37.0,0.01059075213313531,0.016194131087864563,0.9948713476897045,0.9629299846725174,1.2394481701766293,-340.5344595118687,1.2353100680461413,1.568825067121349,-616.4106288420007
average,LinearRegression,24.0,154.2,33.2,33.6,0.011206222669336895,0.016665255448699606,0.978839363594145,0.5432571212190391,0.6910929896775659,-212.42368823393298,0.6175094667004026,0.793860084018141,-194.7531916812605
