feature,coefficient
t-23_dish washer,-0.5851111834318989
t-23_electric stove,-0.5026669332671948
t-23_fridge,-0.45333514235505257
t-23_microwave,-0.05976128136621144
t-23_washer dryer,-1.2018280275486615
t-23_hour,-0.2713588753021715
t-23_day,-1.3531624900876082
t-23_lag_1,-0.1963080009718324
t-23_rolling_mean,-0.7507477307373382
t-22_dish washer,0.7314764896990734
t-22_electric stove,-0.4637726385222002
t-22_fridge,-0.21953239066344876
t-22_microwave,0.24136599276470236
t-22_washer dryer,-0.40004018654929907
t-22_hour,-0.4472869550357397
t-22_day,0.6181976398496536
t-22_lag_1,0.04861513285624659
t-22_rolling_mean,1.2069506881343253
t-21_dish washer,-1.9720863375276583
t-21_electric stove,-0.6735524898337221
t-21_fridge,0.31045541060039555
t-21_microwave,0.02598769912895528
t-21_washer dryer,-5.143618829947687
t-21_hour,0.3003790515763464
t-21_day,-1.1947934173787045
t-21_lag_1,0.372348745128771
t-21_rolling_mean,0.09191014120051053
t-20_dish washer,0.809587714596785
t-20_electric stove,-1.2660396758053079
t-20_fridge,-0.9867566618780359
t-20_microwave,1.3673502731620648
t-20_washer dryer,0.5040406705532132
t-20_hour,-0.5786276446521342
t-20_day,-0.0213896618720657
t-20_lag_1,2.584467379402738
t-20_rolling_mean,1.2295677055374474
t-19_dish washer,-1.8327830446660358
t-19_electric stove,0.09199798153665148
t-19_fridge,0.49961554673485176
t-19_microwave,0.3116556794420032
t-19_washer dryer,0.08856973286822492
t-19_hour,0.733612062311515
t-19_day,1.767621389635822
t-19_lag_1,0.3275399029515418
t-19_rolling_mean,1.343680077510572
t-18_dish washer,2.388863861327354
t-18_electric stove,0.15405745435465723
t-18_fridge,-0.42248644013304426
t-18_microwave,0.5727917864033643
t-18_washer dryer,3.026971301146084
t-18_hour,-0.33125201744390304
t-18_day,0.16202161623010386
t-18_lag_1,-0.17529328114521966
t-18_rolling_mean,1.1196313829859137
t-17_dish washer,-0.6722814225424375
t-17_electric stove,0.10439963520017614
t-17_fridge,-0.3622582125890059
t-17_microwave,0.6997592452741399
t-17_washer dryer,4.963729842917151
t-17_hour,-0.1842555718677814
t-17_day,-1.386986620363347
t-17_lag_1,-1.5688118745022626
t-17_rolling_mean,-0.5795384217223496
t-16_dish washer,1.2708700753021993
t-16_electric stove,0.1150164040387115
t-16_fridge,-0.064286429654131
t-16_microwave,0.9050578965104078
t-16_washer dryer,4.475626203593208
t-16_hour,0.8067932257885104
t-16_day,0.4257713930725634
t-16_lag_1,-2.026150811450097
t-16_rolling_mean,-1.5424691439398295
t-15_dish washer,-0.6519817827385352
t-15_electric stove,0.03220913488281779
t-15_fridge,-0.829148351203838
t-15_microwave,0.15734705843312596
t-15_washer dryer,3.2424846757522316
t-15_hour,-0.5340570820093424
t-15_day,-0.14399550059754818
t-15_lag_1,-1.2182616738615906
t-15_rolling_mean,-1.9691633996902196
t-14_dish washer,1.593429131826492
t-14_electric stove,0.580363066352183
t-14_fridge,-0.06650036383324937
t-14_microwave,-0.08639781396391955
t-14_washer dryer,-0.2555579664444897
t-14_hour,0.021562799528886734
t-14_day,2.414498340505136
t-14_lag_1,-1.340707827011713
t-14_rolling_mean,-1.875842559425485
t-13_dish washer,-1.690083540548507
t-13_electric stove,-0.9234524905029672
t-13_fridge,0.37565206983415034
t-13_microwave,0.7728129488756557
t-13_washer dryer,-0.5863121166680011
t-13_hour,-0.11942917777546624
t-13_day,-2.468055566757341
t-13_lag_1,-0.38900819053188873
t-13_rolling_mean,-1.206062576572404
t-12_dish washer,0.2722971345113957
t-12_electric stove,-0.28399371242771365
t-12_fridge,-0.3992414270048614
t-12_microwave,1.0906048929158565
t-12_washer dryer,3.161572543722386
t-12_hour,0.5760584303547289
t-12_day,2.586553903614112
t-12_lag_1,1.9314257983283927
t-12_rolling_mean,0.08252254372301815
t-11_dish washer,1.1298255923921685
t-11_electric stove,0.32264140915734774
t-11_fridge,0.023085161892145045
t-11_microwave,0.3492273031112725
t-11_washer dryer,3.4612023352887005
t-11_hour,-0.03500700740258178
t-11_day,-1.8082962073402453
t-11_lag_1,-1.8233683263443583
t-11_rolling_mean,-0.11494121834414589
t-10_dish washer,0.013303715762570278
t-10_electric stove,0.5526213410732794
t-10_fridge,-0.4117292820893411
t-10_microwave,-0.07017915711613165
t-10_washer dryer,1.206071383301408
t-10_hour,-0.5668896622000577
t-10_day,2.052732562879003
t-10_lag_1,-1.716137337330411
t-10_rolling_mean,-0.6578899668707024
t-9_dish washer,1.2968625082065748
t-9_electric stove,1.289161233106848
t-9_fridge,0.04418923019290011
t-9_microwave,-0.637665410845075
t-9_washer dryer,0.9963918613781928
t-9_hour,0.14475859068521246
t-9_day,-2.571896461524213
t-9_lag_1,-0.48045676153889955
t-9_rolling_mean,-1.6446278594349346
t-8_dish washer,-0.625456957872839
t-8_electric stove,-0.46376283021129794
t-8_fridge,-0.1635595905968211
t-8_microwave,0.7265575603386856
t-8_washer dryer,0.8991113228796461
t-8_hour,0.16532500219200158
t-8_day,-0.4515606557001666
t-8_lag_1,-0.2571861741579522
t-8_rolling_mean,-1.0038788851957365
t-7_dish washer,0.5116030936201768
t-7_electric stove,0.30436204121589716
t-7_fridge,-0.006318923242952024
t-7_microwave,0.20739249706553875
t-7_washer dryer,1.566447550574937
t-7_hour,-0.7539000468839329
t-7_day,0.3801222789660235
t-7_lag_1,0.09936077672803267
t-7_rolling_mean,-0.2611309534230608
t-6_dish washer,-0.002474537423142076
t-6_electric stove,1.2200594706024286
t-6_fridge,-0.615754754769263
t-6_microwave,-1.0438865403645152
t-6_washer dryer,-1.3923291493022592
t-6_hour,0.8389689933852513
t-6_day,0.8344396235573561
t-6_lag_1,-1.5926443189736803
t-6_rolling_mean,-0.7161438237925755
t-5_dish washer,0.9856039144966091
t-5_electric stove,0.29521298201984286
t-5_fridge,-0.25059448282402397
t-5_microwave,0.9398996383944005
t-5_washer dryer,3.7710952680106633
t-5_hour,-0.6766608176225524
t-5_day,0.1674663122177139
t-5_lag_1,1.7030987360232666
t-5_rolling_mean,0.08583859163819674
t-4_dish washer,-0.10397241558893788
t-4_electric stove,0.006418427165135854
t-4_fridge,-0.04620029090322919
t-4_microwave,0.47517136081830047
t-4_washer dryer,0.8427815252890274
t-4_hour,0.6854638165256949
t-4_day,-0.627736676262526
t-4_lag_1,-2.8338493902950117
t-4_rolling_mean,-1.1141823657734957
t-3_dish washer,0.3383899291952547
t-3_electric stove,0.5827522546752992
t-3_fridge,-0.7155803944198267
t-3_microwave,-0.1613832487323199
t-3_washer dryer,-1.00808030138481
t-3_hour,0.04489328721530811
t-3_day,0.608884095813394
t-3_lag_1,-0.24921018419077307
t-3_rolling_mean,-0.5645629983083094
t-2_dish washer,-0.25708125061659964
t-2_electric stove,-0.3094376408749516
t-2_fridge,-0.43193303693429447
t-2_microwave,0.23682748140430882
t-2_washer dryer,-1.189474042211672
t-2_hour,-0.38569424473987723
