feature,coefficient
t-23_dish washer,0.5330030432613103
t-23_electric stove,0.11702029862383598
t-23_fridge,2.0209528495129803e-14
t-23_microwave,-1.4129322711831094e-14
t-23_washer dryer,-0.37947867838600874
t-23_hour,-0.22385943932035585
t-23_day,0.028559027053538355
t-23_lag_1,0.12672968089827083
t-23_rolling_mean,-1.0725222168716704
t-22_dish washer,-0.32501751961773206
t-22_electric stove,-0.13413023430593818
t-22_fridge,1.3072876114961218e-14
t-22_microwave,-5.197231534026514e-15
t-22_washer dryer,-0.4378556930129429
t-22_hour,-0.1251078740224701
t-22_day,0.012786207596235853
t-22_lag_1,-0.6315611726684892
t-22_rolling_mean,1.306827247280263
t-21_dish washer,0.5681515467148976
t-21_electric stove,-0.4365468268939373
t-21_fridge,1.2628786905111156e-15
t-21_microwave,-8.861834877027519e-15
t-21_washer dryer,-0.030003470362860517
t-21_hour,-0.07404149461890663
t-21_day,0.004629771997055667
t-21_lag_1,0.2790920162466818
t-21_rolling_mean,-0.09198043379121756
t-20_dish washer,-0.4842875217117617
t-20_electric stove,-0.13487342595124643
t-20_fridge,-2.0816681711721685e-15
t-20_microwave,2.1649348980190553e-15
t-20_washer dryer,-0.08101923481665357
t-20_hour,0.0890274741277779
t-20_day,-0.02141596606664936
t-20_lag_1,-0.2344562048976536
t-20_rolling_mean,-0.2391502381762447
t-19_dish washer,-0.3374383209040147
t-19_electric stove,-0.34840348647104774
t-19_fridge,-3.1086244689504383e-15
t-19_microwave,-1.304512053934559e-15
t-19_washer dryer,0.14973372824740594
t-19_hour,0.012030550973208987
t-19_day,-0.009117846396124438
t-19_lag_1,0.5216971916373367
t-19_rolling_mean,0.23075961864516636
t-18_dish washer,1.0598200139828429
t-18_electric stove,-0.012249123121278967
t-18_fridge,-7.771561172376096e-16
t-18_microwave,-1.609823385706477e-15
t-18_washer dryer,0.07459202575046253
t-18_hour,0.025849400793385796
t-18_day,-0.011325023797956607
t-18_lag_1,-0.3184415160039637
t-18_rolling_mean,-0.01271305432772979
t-17_dish washer,-0.9673585552814601
t-17_electric stove,-0.3384346946296161
t-17_fridge,5.030698080332741e-16
t-17_microwave,-1.887379141862766e-15
t-17_washer dryer,-0.43509508140440917
t-17_hour,0.08189306034207167
t-17_day,-0.02027644164254068
t-17_lag_1,-0.34855947217924743
t-17_rolling_mean,-0.05920588858816769
t-16_dish washer,0.809635986062005
t-16_electric stove,0.09470449080827287
t-16_fridge,9.992007221626409e-16
t-16_microwave,-1.7763568394002505e-15
t-16_washer dryer,0.44873159523256506
t-16_hour,-0.08243647723458988
t-16_day,0.005970637275947738
t-16_lag_1,0.809549272361179
t-16_rolling_mean,0.05808311986406475
t-15_dish washer,-0.1383101835464338
t-15_electric stove,-0.13624669961476432
t-15_fridge,0.0
t-15_microwave,1.3322676295501878e-15
t-15_washer dryer,-0.49319616001410754
t-15_hour,-0.05116048173675977
t-15_day,0.0009751657728255952
t-15_lag_1,-1.0242000054604714
t-15_rolling_mean,-0.22948719481613833
t-14_dish washer,-0.3392217574473217
t-14_electric stove,-1.1112829610801953
t-14_fridge,2.220446049250313e-16
t-14_microwave,1.3877787807814457e-16
t-14_washer dryer,-0.5502202035784592
t-14_hour,0.1358303373671072
t-14_day,-0.028891423389597534
t-14_lag_1,0.4924454280891027
t-14_rolling_mean,0.11319099812207967
t-13_dish washer,0.5880355690735698
t-13_electric stove,-0.045701047616353324
t-13_fridge,3.3306690738754696e-16
t-13_microwave,2.7755575615628914e-16
t-13_washer dryer,-0.4781645070035284
t-13_hour,0.06309038932218675
t-13_day,-0.017273237243528927
t-13_lag_1,0.3873533961576937
t-13_rolling_mean,-0.05883810643750255
t-12_dish washer,-0.4758989582551597
t-12_electric stove,-0.39094739904056797
t-12_fridge,2.0469737016526324e-16
t-12_microwave,3.3306690738754696e-16
t-12_washer dryer,-0.3959000212385755
t-12_hour,-0.25421819293134895
t-12_day,0.03340799464418784
t-12_lag_1,-0.3294727357927293
t-12_rolling_mean,0.22423739678332444
t-11_dish washer,0.016687464337713065
t-11_electric stove,-0.26962481218728906
t-11_fridge,2.220446049250313e-16
t-11_microwave,0.0
t-11_washer dryer,-0.004953278397810457
t-11_hour,0.13281160427326666
