feature,coefficient
t-23_dish washer,0.15660400820342943
t-23_electric stove,0.6748069944989317
t-23_fridge,0.2915843000098738
t-23_microwave,0.4853811873155555
t-23_washer dryer,0.20139705523935258
t-23_hour,-0.003896813511337388
t-23_day,0.016599958527376238
t-23_lag_1,-0.3267764962235221
t-23_rolling_mean,0.28900270766214237
t-22_dish washer,0.33015345903857013
t-22_electric stove,0.9889494778307518
t-22_fridge,-0.3740497684138335
t-22_microwave,-0.6683243813901156
t-22_washer dryer,-0.2393097206294888
t-22_hour,-0.15595491342921153
t-22_day,0.04088701615316215
t-22_lag_1,-0.2690196947240028
t-22_rolling_mean,-0.21525449500690091
t-21_dish washer,-0.3346159152522552
t-21_electric stove,-0.21357072127123125
t-21_fridge,0.5281769742004616
t-21_microwave,0.13971292774747132
t-21_washer dryer,-0.30775475283606396
t-21_hour,0.09433636546943033
t-21_day,0.0009099368846271771
t-21_lag_1,0.11660401235648096
t-21_rolling_mean,-0.1958264138155419
t-20_dish washer,-0.5288383508597397
t-20_electric stove,-0.33668851009501494
t-20_fridge,-0.2471976961623693
t-20_microwave,0.03484957069892669
t-20_washer dryer,-0.4407251718056979
t-20_hour,0.4157559985806536
t-20_day,-0.05042792118174649
t-20_lag_1,0.15048916909137627
t-20_rolling_mean,-0.0007872878625524715
t-19_dish washer,-0.4438216710385784
t-19_electric stove,-0.4302143779139589
t-19_fridge,-0.368761959880296
t-19_microwave,-0.13959292751035757
t-19_washer dryer,-0.26752050670845695
t-19_hour,-0.04946165304287961
t-19_day,0.02387767595256496
t-19_lag_1,-0.002221583329499309
t-19_rolling_mean,0.10824228252977487
t-18_dish washer,-0.12845100135055462
t-18_electric stove,-0.2696548438787063
t-18_fridge,-0.11378479913684786
t-18_microwave,0.06858623289088853
t-18_washer dryer,-0.4174803315742067
t-18_hour,-0.2697811231788144
t-18_day,0.05906759132149968
t-18_lag_1,0.24219378018817916
t-18_rolling_mean,0.1595657284147189
t-17_dish washer,0.22102882614794062
t-17_electric stove,0.16433248148104776
t-17_fridge,-0.12705966942648728
t-17_microwave,-0.7066303650459521
