round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,402.84714,259.015487,402.84714,0.280298,1000,2536,watt,2026-05-18T20:52:12
2,390.972265,255.972753,390.972265,0.322102,1000,2536,watt,2026-05-18T20:52:12
3,375.442283,240.677628,375.442283,0.374887,1000,2536,watt,2026-05-18T20:52:12
4,371.428896,238.156863,371.428896,0.38818,1000,2536,watt,2026-05-18T20:52:13
5,374.95444,247.984006,374.95444,0.37651,1000,2536,watt,2026-05-18T20:52:13
6,367.134099,237.830764,367.134099,0.402247,1000,2536,watt,2026-05-18T20:52:13
7,361.012109,231.688279,361.012109,0.422016,1000,2536,watt,2026-05-18T20:52:14
8,355.017957,222.999475,355.017957,0.44105,1000,2536,watt,2026-05-18T20:52:14
9,356.155765,221.794084,356.155765,0.437462,1000,2536,watt,2026-05-18T20:52:14
10,354.634129,221.321299,354.634129,0.442258,1000,2536,watt,2026-05-18T20:52:15
