round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,605.988662,345.01873,605.988662,0.251777,1000,706,watt,2026-05-18T20:52:12
2,573.484724,326.562065,573.484724,0.32989,1000,706,watt,2026-05-18T20:52:12
3,570.926265,328.504024,570.926265,0.335856,1000,706,watt,2026-05-18T20:52:12
4,566.627633,321.394665,566.627633,0.345819,1000,706,watt,2026-05-18T20:52:13
5,560.2687,311.135696,560.2687,0.36042,1000,706,watt,2026-05-18T20:52:13
6,562.801151,318.055282,562.801151,0.354625,1000,706,watt,2026-05-18T20:52:13
7,568.335297,320.983949,568.335297,0.34187,1000,706,watt,2026-05-18T20:52:14
8,575.184198,327.83586,575.184198,0.325913,1000,706,watt,2026-05-18T20:52:14
9,575.612431,328.451383,575.612431,0.324909,1000,706,watt,2026-05-18T20:52:14
10,579.677257,329.995025,579.677257,0.31534,1000,706,watt,2026-05-18T20:52:15
