round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,250.323736,175.105057,250.323736,0.44498,1000,3837,watt,2026-05-18T20:52:12
2,270.711892,187.94621,270.711892,0.350888,1000,3837,watt,2026-05-18T20:52:12
3,264.094198,177.945121,264.094198,0.382236,1000,3837,watt,2026-05-18T20:52:12
4,261.281263,175.023587,261.281263,0.395326,1000,3837,watt,2026-05-18T20:52:13
5,264.067846,186.933453,264.067846,0.38236,1000,3837,watt,2026-05-18T20:52:13
6,258.707527,178.308755,258.707527,0.40718,1000,3837,watt,2026-05-18T20:52:13
7,249.898192,168.418453,249.898192,0.446865,1000,3837,watt,2026-05-18T20:52:14
8,244.776908,159.772392,244.776908,0.469304,1000,3837,watt,2026-05-18T20:52:14
9,241.826782,156.832206,241.826782,0.482019,1000,3837,watt,2026-05-18T20:52:14
10,242.331846,157.296772,242.331846,0.479854,1000,3837,watt,2026-05-18T20:52:15
