round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,281.900239,144.628756,281.900239,0.517452,812,233,watt,2026-05-18T20:52:12
2,275.756421,140.48424,275.756421,0.538257,812,233,watt,2026-05-18T20:52:12
3,261.050967,124.130048,261.050967,0.586191,812,233,watt,2026-05-18T20:52:12
4,265.331774,131.038426,265.331774,0.572508,812,233,watt,2026-05-18T20:52:13
5,260.280803,132.962975,260.280803,0.588629,812,233,watt,2026-05-18T20:52:13
6,255.244045,128.95489,255.244045,0.604396,812,233,watt,2026-05-18T20:52:13
7,253.552201,127.13239,253.552201,0.609623,812,233,watt,2026-05-18T20:52:14
8,255.828503,128.649827,255.828503,0.602582,812,233,watt,2026-05-18T20:52:14
9,247.602522,124.751334,247.602522,0.627729,812,233,watt,2026-05-18T20:52:14
10,249.602314,126.762231,249.602314,0.621691,812,233,watt,2026-05-18T20:52:15
