round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,96.093295,69.743542,96.093295,-0.582575,639,183,watt,2026-05-18T20:52:12
2,93.409553,68.736199,93.409553,-0.495412,639,183,watt,2026-05-18T20:52:12
3,94.318916,69.792134,94.318916,-0.52467,639,183,watt,2026-05-18T20:52:12
4,93.767647,69.989534,93.767647,-0.506899,639,183,watt,2026-05-18T20:52:13
5,90.639369,68.60654,90.639369,-0.40803,639,183,watt,2026-05-18T20:52:13
6,92.441904,69.821281,92.441904,-0.46459,639,183,watt,2026-05-18T20:52:13
7,92.57754,69.902525,92.57754,-0.468891,639,183,watt,2026-05-18T20:52:14
8,94.156136,70.893269,94.156136,-0.519412,639,183,watt,2026-05-18T20:52:14
9,93.71103,70.525336,93.71103,-0.50508,639,183,watt,2026-05-18T20:52:14
10,93.639372,70.521369,93.639372,-0.502779,639,183,watt,2026-05-18T20:52:15
