round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,269.232231,148.406763,269.232231,0.490195,1000,2994,watt,2026-05-18T20:52:12
2,260.982062,145.449694,260.982062,0.52096,1000,2994,watt,2026-05-18T20:52:12
3,259.635719,142.466493,259.635719,0.52589,1000,2994,watt,2026-05-18T20:52:12
4,258.303674,139.280002,258.303674,0.530742,1000,2994,watt,2026-05-18T20:52:13
5,258.507349,141.830647,258.507349,0.530002,1000,2994,watt,2026-05-18T20:52:13
6,258.286974,139.457799,258.286974,0.530803,1000,2994,watt,2026-05-18T20:52:13
7,258.813156,136.656391,258.813156,0.528889,1000,2994,watt,2026-05-18T20:52:14
8,259.801798,135.103098,259.801798,0.525283,1000,2994,watt,2026-05-18T20:52:14
9,259.917519,134.366841,259.917519,0.52486,1000,2994,watt,2026-05-18T20:52:14
10,260.316528,134.202951,260.316528,0.5234,1000,2994,watt,2026-05-18T20:52:15
