round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,159.458476,101.696885,159.458476,0.299778,562,161,watt,2026-05-18T20:52:12
2,168.116944,93.942274,168.116944,0.22167,562,161,watt,2026-05-18T20:52:12
3,167.401502,89.716404,167.401502,0.228281,562,161,watt,2026-05-18T20:52:12
4,175.627246,92.464101,175.627246,0.150576,562,161,watt,2026-05-18T20:52:13
5,190.98644,113.654453,190.98644,-0.00449,562,161,watt,2026-05-18T20:52:13
6,194.191218,107.760743,194.191218,-0.038484,562,161,watt,2026-05-18T20:52:13
7,179.620871,103.021395,179.620871,0.111507,562,161,watt,2026-05-18T20:52:14
8,168.12771,96.628363,168.12771,0.221571,562,161,watt,2026-05-18T20:52:14
9,167.494178,95.704407,167.494178,0.227426,562,161,watt,2026-05-18T20:52:14
10,161.622845,94.045788,161.622845,0.28064,562,161,watt,2026-05-18T20:52:15
