round,loss_rmse,mae,rmse,r2,train_rows,test_rows,data_mode,timestamp
1,522.716005,482.075433,522.716005,-6.565228,760,218,watt,2026-05-18T20:52:12
2,458.81509,419.680491,458.81509,-4.828621,760,218,watt,2026-05-18T20:52:12
3,424.409959,386.865264,424.409959,-3.987255,760,218,watt,2026-05-18T20:52:12
4,426.984058,385.604448,426.984058,-4.047935,760,218,watt,2026-05-18T20:52:13
5,415.494467,379.373982,415.494467,-3.779923,760,218,watt,2026-05-18T20:52:13
6,396.912501,359.852219,396.912501,-3.361943,760,218,watt,2026-05-18T20:52:13
7,410.270906,370.035556,410.270906,-3.660493,760,218,watt,2026-05-18T20:52:14
8,409.453456,367.02991,409.453456,-3.64194,760,218,watt,2026-05-18T20:52:14
9,407.51995,365.590238,407.51995,-3.598204,760,218,watt,2026-05-18T20:52:14
10,414.715788,371.760822,414.715788,-3.762024,760,218,watt,2026-05-18T20:52:15
